point,month,fish_normalized,count,report_urls
カグラ根,8,イサキ,1,https://portside-t.com/iso/iso_repo459.htm
カグラ根,8,シブダイ系,1,https://portside-t.com/iso/iso_repo459.htm
カグラ根,8,ハタンポ,1,https://portside-t.com/iso/iso_repo459.htm
カグラ根,10,イサキ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,エイ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,シブダイ系,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,シマアジ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,フグ類,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,ブダイ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,ヘダイ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,ベラ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,メイチダイ,1,https://portside-t.com/iso/iso_repo460.htm
カグラ根,10,メジナ,1,https://portside-t.com/iso/iso_repo460.htm
伊豆南地磯,6,イサキ,2,https://portside-t.com/iso/iso_repo458.htm https://portside-t.com/iso/iso_repo434.htm
伊豆南地磯,6,シブダイ系,2,https://portside-t.com/iso/iso_repo458.htm https://portside-t.com/iso/iso_repo434.htm
伊豆南地磯,6,タカノハダイ,1,https://portside-t.com/iso/iso_repo434.htm
伊豆南地磯,6,フエフキダイ,1,https://portside-t.com/iso/iso_repo434.htm
伊豆南地磯,6,フグ類,2,https://portside-t.com/iso/iso_repo434.htm
伊豆南地磯,6,マダイ,1,https://portside-t.com/iso/iso_repo458.htm
伊豆南地磯,6,メイチダイ,1,https://portside-t.com/iso/iso_repo458.htm
伊豆南地磯,7,アイゴ,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,イサキ,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,カマス,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,シブダイ系,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,タカノハダイ,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,フエフキダイ,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,フグ類,2,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,ムラソイ,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,7,メジナ,1,https://portside-t.com/iso/iso_repo435.htm
伊豆南地磯,9,シブダイ系,1,https://portside-t.com/iso/iso_repo438.htm
伊豆南地磯,9,シマアジ,1,https://portside-t.com/iso/iso_repo438.htm
伊豆南地磯,9,ハタンポ,1,https://portside-t.com/iso/iso_repo438.htm
伊豆南地磯,9,フグ類,1,https://portside-t.com/iso/iso_repo438.htm
伊豆南地磯,9,ベラ,1,https://portside-t.com/iso/iso_repo438.htm
伊豆南地磯,9,ワカシ,1,https://portside-t.com/iso/iso_repo438.htm
伊豆南堤防,7,ウツボ,1,https://portside-t.com/iso/iso_repo436.htm
伊豆南堤防,7,シブダイ系,1,https://portside-t.com/iso/iso_repo436.htm
伊豆南堤防,7,シマアジ,1,https://portside-t.com/iso/iso_repo436.htm
伊豆南堤防,7,フグ類,2,https://portside-t.com/iso/iso_repo436.htm
伊豆南堤防,7,メジナ,1,https://portside-t.com/iso/iso_repo436.htm
伊豆南堤防,8,イサキ,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,ウツボ,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,エイ,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,クロダイ,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,シブダイ系,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,フグ類,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,メイチダイ,1,https://portside-t.com/iso/iso_repo437.htm
伊豆南堤防,8,メジナ,1,https://portside-t.com/iso/iso_repo437.htm
南伊豆地磯,6,イサキ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,エイ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,サバ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,シブダイ系,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,ハタンポ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,フエフキダイ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,フグ類,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,ブダイ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,6,ムラソイ,1,https://portside-t.com/iso/iso_repo405.htm
南伊豆地磯,12,イスズミ,1,https://portside-t.com/iso/iso_repo393.htm
南伊豆地磯,12,カサゴ,1,https://portside-t.com/iso/iso_repo393.htm
南伊豆地磯,12,シブダイ系,1,https://portside-t.com/iso/iso_repo393.htm
南伊豆地磯,12,タカノハダイ,1,https://portside-t.com/iso/iso_repo393.htm
南伊豆地磯,12,フグ類,1,https://portside-t.com/iso/iso_repo393.htm
南伊豆地磯,12,メジナ,1,https://portside-t.com/iso/iso_repo393.htm
南伊豆地磯・堤防,7,イサキ,1,https://portside-t.com/iso/iso_repo299.htm
南伊豆地磯・堤防,7,サンノジ,1,https://portside-t.com/iso/iso_repo299.htm
南伊豆地磯・堤防,7,シブダイ系,1,https://portside-t.com/iso/iso_repo299.htm
南伊豆地磯・堤防,7,フグ類,1,https://portside-t.com/iso/iso_repo299.htm
南伊豆地磯・堤防,7,ヘダイ,1,https://portside-t.com/iso/iso_repo299.htm
南伊豆地磯・堤防,7,メジナ,1,https://portside-t.com/iso/iso_repo299.htm
